method,seed,generated_rows,valid_rows,unique_valid,diversity_sample_n,validity,uniqueness,novelty,diversity,hypervolume,igd_plus,pareto_size,dual_at_6,dual_at_6_5,quality_pass,alert_free,scaffold_diversity,qc_hypervolume,qc_dual_at_6,qc_dual_at_6_5,qc_dual_at_7,qc_best_min,target_pair
POLYGON,49,10240,9122,9094,2000,0.8908203125,0.9969304976978732,0.9761381130415658,0.8546025359798936,0.4948420537635885,0.1233076687198291,10,0.7827138772817243,0.2567627006817682,0.7978887178359357,0.8781614251154607,0.8990543215306795,0.494588356563818,0.7805953693495039,0.2541345093715546,0.0053748621830209,7.546200686833361,EGFR_VEGFR2
POLYGON,50,10240,9142,9121,2000,0.8927734375,0.9977029096477796,0.9762087490406752,0.8583772497600659,0.4934098990714535,0.1317183574918505,8,0.7967328143843877,0.227168073676132,0.8201951540401272,0.8762197127507949,0.8849906808463984,0.490898908633149,0.8002940783317738,0.2284453950006683,0.0028071113487501,7.371585143166678,EGFR_VEGFR2
POLYGON,51,10240,8999,8988,2000,0.87880859375,0.9987776419602178,0.9725189141076992,0.8563386485789426,0.4942815213640967,0.1452328244626675,11,0.7745883400089008,0.2300845571873609,0.8238762794837561,0.886849132176235,0.886849132176235,0.4926254052727016,0.7763673193787981,0.2333558406482106,0.0021607022282241,7.133291101999981,EGFR_VEGFR2
REINVENT4,42,10240,9841,9103,2000,0.96103515625,0.9250076211767096,0.9882456333077008,0.8400270603882869,0.4086828823634212,0.21013055207411,7,0.590464681972976,0.0663517521696144,0.4676480281225969,0.4869823135230144,0.446226518730089,0.4063847597480243,0.5703547098895936,0.0552031947380784,0.0,6.8615757933999895,EGFR_VEGFR2
REINVENT4,43,10240,9543,9331,2000,0.93193359375,0.9777847637011422,0.9905690708391384,0.8711112061611663,0.4546021686671664,0.1614754354071211,3,0.6912442396313364,0.0690172543135784,0.5939341978351731,0.660165041260315,0.7449362340585146,0.4486505615273007,0.6959581378563695,0.0710934680620714,0.0001804402742692,7.030166208483319,EGFR_VEGFR2
REINVENT4,44,10240,9733,9502,2000,0.95048828125,0.9762663104900852,0.9897916228162492,0.8473982804277921,0.4258383629062533,0.1891181237582718,12,0.6006103978109871,0.0447274258050936,0.7076404967375289,0.7806777520521996,0.7877288991791201,0.422817614445173,0.6041046995835812,0.0420880428316478,0.0001487209994051,7.0485396421666575,EGFR_VEGFR2
REINVENT4,45,10240,9834,8456,2000,0.9603515625,0.8598739068537726,0.9895931882686848,0.853193693015323,0.4327619012657751,0.1753454052576043,12,0.5228240302743614,0.0366603595080416,0.4570719016083254,0.4971617786187323,0.3086565752128666,0.4325003496398685,0.4724450194049159,0.0338939197930142,0.0005174644243208,7.258854440666671,EGFR_VEGFR2
REINVENT4,46,10240,9649,9366,2000,0.94228515625,0.9706705358068194,0.9745889387144993,0.836381106728528,0.4284629067061604,0.2046086980384131,15,0.6106128550074739,0.0716421097587016,0.521460602178091,0.5485799701046338,0.7167414050822123,0.421501685119536,0.5303030303030303,0.0524160524160524,0.0,6.909532683935705,EGFR_VEGFR2
REINVENT4,47,10240,9776,6067,2000,0.9546875,0.62060147299509,0.9881325201911982,0.8739777579521404,0.4105110101905688,0.2154683084278544,11,0.6630954343167957,0.0558760507664414,0.5803527278720949,0.6883138289104994,0.4695895829899456,0.3944083284511582,0.6929849474581085,0.0536779324055666,0.0,6.903245670000012,EGFR_VEGFR2
REINVENT4,48,10240,9685,9593,2000,0.94580078125,0.9905007743933918,0.9940581674137392,0.8615240288318183,0.437093663377054,0.1892400961753391,8,0.5658292504951528,0.0348170541019493,0.4133222141144584,0.4429271343688106,0.352548733451475,0.4367929882565475,0.5440100882723834,0.0373266078184111,0.0,6.965747192257141,EGFR_VEGFR2
REINVENT4,49,10240,9717,7883,2000,0.94892578125,0.811258618915303,0.993276671318026,0.8512500033439356,0.4193805294262161,0.212313947183329,6,0.6083978180895598,0.0418622351896486,0.4339718381326906,0.4792591652924013,0.660535329189395,0.4146815256452157,0.599824612686349,0.0453083893598363,0.0,6.898513051416664,EGFR_VEGFR2
REINVENT4,50,10240,9589,9174,2000,0.93642578125,0.9567212430910418,0.9876825812077612,0.8630707971200828,0.4390672610110813,0.1831099674003174,9,0.6473730106823632,0.0803357314148681,0.5612600828428167,0.6158709396119468,0.697078700675823,0.4373179668199449,0.6086618760924452,0.0687512138279277,0.0,6.962435121000012,EGFR_VEGFR2
REINVENT4,51,10240,9690,9203,2000,0.9462890625,0.9497420020639836,0.9892426382701291,0.8537273488939315,0.4255327629596586,0.1925476155261368,8,0.6639139411061611,0.0779093773769423,0.43692274258394,0.4611539715310225,0.5116809735955666,0.4122476175549865,0.6177567769211639,0.0522258144740114,0.0,6.988474692000002,EGFR_VEGFR2
DrugEx v2,42,10240,9897,9870,2000,0.96650390625,0.997271900575932,0.8289766970618034,0.8638548523362001,0.4664551828334216,0.1500359652326835,7,0.5872340425531914,0.075886524822695,0.8246200607902735,0.8539007092198582,0.7258358662613982,0.4664551828334216,0.5892615800466888,0.0778965474874063,0.0006143260842855,7.240629192749997,EGFR_VEGFR2
DrugEx v2,43,10240,9898,9884,2000,0.9666015625,0.9985855728429984,0.834581141238365,0.8612764792789714,0.5036611836619167,0.1657798563373217,12,0.5909550789154189,0.0734520437070012,0.8238567381626871,0.8541076487252125,0.7176244435451234,0.5003057509258352,0.5963404150804372,0.0729460886651111,0.0001228048630725,7.028835392816659,EGFR_VEGFR2
DrugEx v2,44,10240,9892,9873,2000,0.966015625,0.9980792559644156,0.8372328572875519,0.8622802041055139,0.4621110039266479,0.1599066614680724,7,0.5950572267801074,0.0791046287855768,0.8103919781221514,0.8454370505418819,0.7190317026233161,0.4606188509381129,0.5985501812273466,0.0811148606424197,0.0004999375078115,7.335572620633341,EGFR_VEGFR2
DrugEx v2,45,10240,9918,9902,2000,0.9685546875,0.9983867715265174,0.8408402342961018,0.8620088673709818,0.4611582643072405,0.1806823008704646,9,0.5914966673399313,0.08260957382347,0.8249848515451425,0.8565946273480105,0.7311654211270451,0.4611582643072405,0.5943199902068796,0.0838535928510221,0.0003672420124862,7.096684982466656,EGFR_VEGFR2
DrugEx v2,46,10240,9880,9863,2000,0.96484375,0.9982793522267206,0.8334178241914225,0.8626155121389095,0.4364688343437396,0.1522446531006744,4,0.5714285714285714,0.0727973233296157,0.8259150359931056,0.8546081314001825,0.7151982155530772,0.4364688343437396,0.5790572059906702,0.0734102627056224,0.0004910385465259,7.411011384666659,EGFR_VEGFR2
DrugEx v2,47,10240,9895,9872,2000,0.96630859375,0.9976755937342092,0.8314424635332253,0.8617841051906684,0.465413500181042,0.165954512853457,8,0.592078606158833,0.0785048622366288,0.8317463533225283,0.8591977309562399,0.7172811993517018,0.4646890136918112,0.5971258068444769,0.0809889173060528,0.000243575691146,7.11940292420714,EGFR_VEGFR2
DrugEx v2,48,10240,9888,9867,2000,0.965625,0.997876213592233,0.8316610925306578,0.8622342588538863,0.4313189540628377,0.1874678466735149,10,0.5899462855984595,0.0740853349549001,0.8301408736191345,0.8586196412283369,0.7174419783115435,0.4313189540628377,0.5908924429251617,0.0737394701501648,0.0,6.972044297133345,EGFR_VEGFR2
DrugEx v2,49,10240,9893,9873,2000,0.96611328125,0.9979783685434144,0.8366251392687126,0.8623027041548714,0.4541168208860341,0.1556257911507078,7,0.599209966575509,0.0764711840372733,0.8272055099767042,0.8581991289375064,0.719943279651575,0.4512208584573883,0.6011999510224072,0.0768948206195665,0.0002448879637565,7.0296399790000015,EGFR_VEGFR2
DrugEx v2,50,10240,9931,9915,2000,0.96982421875,0.9983888832947336,0.8337871911245588,0.8624341968265854,0.4772659531081016,0.1578848580686908,9,0.5761976802824004,0.0719112455874936,0.8262228946041351,0.8545637922339889,0.7229450327786182,0.4772659531081016,0.5802001953125,0.0738525390625,0.000244140625,7.098638470199998,EGFR_VEGFR2
DrugEx v2,51,10240,9905,9882,2000,0.96728515625,0.9976779404341242,0.8344464683262498,0.8622509324745918,0.4768198859342258,0.1792794276673698,10,0.5894555757943736,0.081967213114754,0.8273628820076907,0.8552924509208663,0.7136207245496863,0.4758814229651567,0.5945450097847358,0.0834148727984344,0.0008561643835616,7.151253334157131,EGFR_VEGFR2
MO-LSO,42,10240,10216,5281,2000,0.99765625,0.5169342208300705,0.9984851353910243,0.8861500760890735,0.5109064667685582,0.1207319891486392,6,0.6830145805718614,0.1804582465442151,0.3995455406173073,0.624124218897936,0.8045824654421511,0.5018894576867134,0.6796208530805687,0.1417061611374407,0.0023696682464454,7.097453233000017,EGFR_VEGFR2
MO-LSO,43,10240,10222,5277,2000,0.9982421875,0.5162394834670319,0.996209967784726,0.8800312334174643,0.4889590266712101,0.1560661879393676,13,0.6759522455940875,0.1610763691491377,0.4968732234223991,0.6761417472048512,0.8173204472238014,0.4309745219688828,0.6662852784134249,0.1327231121281464,0.001906941266209,7.151920750000009,EGFR_VEGFR2
MO-LSO,44,10240,10221,6415,2000,0.99814453125,0.6276293904705997,0.9987529228371006,0.8803895456200875,0.5189112776504571,0.1137489093154136,13,0.7745908028059236,0.2992985190958691,0.3276695245518316,0.5883086515978176,0.879033515198753,0.4736784058944995,0.6803044719314938,0.1489058039961941,0.0009514747859181,7.1373028280000135,EGFR_VEGFR2
MO-LSO,45,10240,10213,6031,2000,0.99736328125,0.5905218838734946,0.9976786602553472,0.8829064831834783,0.462208824915821,0.1587197909403318,9,0.7333775493284695,0.2342895042281545,0.3831868678494445,0.6231139114574697,0.8244072293152048,0.4162052625346408,0.7053223712678495,0.1622674167027261,0.0,6.943210132033328,EGFR_VEGFR2
MO-LSO,46,10240,10222,5731,2000,0.9982421875,0.5606534924672275,0.9970336764962484,0.8815312005099384,0.5186702270820713,0.0962718060092878,2,0.7455941371488396,0.2938405164892689,0.3575292270109928,0.5452800558366777,0.8385971034723434,0.4233554728297591,0.6827720839433871,0.148365056124939,0.0029282576866764,7.125130010833344,EGFR_VEGFR2
MO-LSO,47,10240,10202,5243,2000,0.9962890625,0.5139188394432465,0.9979019645241274,0.8825318438431159,0.526315954201273,0.0921605825300786,4,0.7440396719435438,0.2761777608239557,0.3536143429334351,0.5115391951172993,0.850085828724013,0.4602344776938585,0.6833872707659115,0.1370010787486515,0.0010787486515641,7.041549858200002,EGFR_VEGFR2
MO-LSO,48,10240,10224,5299,2000,0.9984375,0.5182902973395931,0.9973579920739762,0.8776625403418943,0.4990249335330131,0.1251453146497693,8,0.7469333836572938,0.3123230798263823,0.3698811096433289,0.6025665219852803,0.8386488016606907,0.4720004096708389,0.6729591836734694,0.1540816326530612,0.0015306122448979,7.1165476055,EGFR_VEGFR2
MO-LSO,49,10240,10216,5446,2000,0.99765625,0.5330853563038371,0.998347410943812,0.8801598360158723,0.4936451649976491,0.1327549532520563,9,0.7242012486228424,0.2510099155343371,0.3731178846860081,0.5758354755784062,0.8659566654425266,0.4260623432938749,0.6850393700787402,0.1441929133858267,0.0004921259842519,7.024057976216667,EGFR_VEGFR2
MO-LSO,50,10240,10223,5304,2000,0.99833984375,0.5188300890149663,0.9981146304675717,0.8866904230755502,0.5010841110513571,0.1459528459998723,12,0.7147435897435898,0.2530165912518853,0.3663273001508295,0.5808823529411765,0.8342760180995475,0.4474425675929951,0.6654657745753989,0.1461657231085949,0.0015440041173443,7.114028299633346,EGFR_VEGFR2
MO-LSO,51,10240,10228,6504,2000,0.998828125,0.6359014470082127,0.9966174661746616,0.8824342132185338,0.4756009736823899,0.1551221479309567,11,0.738929889298893,0.2309348093480935,0.3994464944649446,0.5845633456334564,0.8162669126691267,0.4470896403493948,0.7113163972286374,0.1466512702078521,0.0011547344110854,7.116116077000023,EGFR_VEGFR2
GraphPareto-NSGA-II,42,10240,10240,6687,2000,1.0,0.65302734375,0.9832510841932108,0.8120653172963086,0.5860446387098017,0.0664059564834328,23,0.8993569612681322,0.5959324061612084,0.0979512486914909,0.2210258710931658,0.5572005383580081,0.4811302817952564,0.7114503816793893,0.1648854961832061,0.0259541984732824,7.380297709666652,EGFR_VEGFR2
GraphPareto-NSGA-II,43,10240,10240,6454,2000,1.0,0.6302734375,0.98311124883793,0.8257524801914189,0.5141105333522551,0.0960204816901383,9,0.8746513789897737,0.5683297180043384,0.1400681747753331,0.2903625658506352,0.4741245739076541,0.4378428561097328,0.7190265486725663,0.2776548672566372,0.0276548672566371,7.221826490999987,EGFR_VEGFR2
GraphPareto-NSGA-II,44,10240,10240,6289,2000,1.0,0.61416015625,0.982191127365241,0.7917091962322296,0.608313412951602,0.0136459011932898,11,0.8580060422960725,0.5903959294005406,0.1038320877723008,0.193830497694387,0.5584353633328033,0.5234638931093525,0.7182235834609495,0.2343032159264931,0.0490045941807044,7.358567218666653,EGFR_VEGFR2
GraphPareto-NSGA-II,45,10240,10240,6773,2000,1.0,0.66142578125,0.9828731728923668,0.7920780217578255,0.5924684682038558,0.0371171530761934,11,0.8942861361287465,0.7110586150893252,0.1194448545696146,0.2230916875830503,0.4339288350804665,0.4890595482248687,0.7713226205191595,0.3572311495673671,0.0840543881334981,7.461563961133333,EGFR_VEGFR2
GraphPareto-NSGA-II,46,10240,10240,6289,2000,1.0,0.61416015625,0.9825091429480044,0.8174487967024209,0.5970241284445768,0.0392576595162692,9,0.9109556368262044,0.655907139449833,0.2108443313722372,0.4453808236603593,0.6072507552870091,0.5066454577942543,0.8514328808446455,0.416289592760181,0.0641025641025641,7.583751704149979,EGFR_VEGFR2
GraphPareto-NSGA-II,47,10240,10240,6798,2000,1.0,0.6638671875,0.9830832597822888,0.8188016866139107,0.6034101677057103,0.0358762264769372,10,0.8499558693733451,0.625625183877611,0.15651662253604,0.3905560458958517,0.461312150632539,0.5288396373317781,0.7471804511278195,0.3543233082706767,0.0808270676691729,7.444401551666673,EGFR_VEGFR2
GraphPareto-NSGA-II,48,10240,10240,6447,2000,1.0,0.62958984375,0.9813866914844114,0.8342584809670957,0.5763291876310097,0.0432218788541157,4,0.8692415076779898,0.5529703738172793,0.1881495269117419,0.5011633317822243,0.4732433690088413,0.4821412593023293,0.7675185490519374,0.3124484748557296,0.0206100577081615,7.366946252666666,EGFR_VEGFR2
GraphPareto-NSGA-II,49,10240,10240,6643,2000,1.0,0.64873046875,0.9829896131265994,0.8423120269788926,0.5664115833177287,0.051086641624275,9,0.8350143007677254,0.6188469065181395,0.2032214360981484,0.4777961764263134,0.534096040945356,0.509081287794663,0.7192592592592593,0.3644444444444444,0.0311111111111111,7.31754485858335,EGFR_VEGFR2
GraphPareto-NSGA-II,50,10240,10240,6308,2000,1.0,0.616015625,0.9822447685478756,0.8370778442693689,0.6325960700091002,0.0102730362851913,11,0.8103994927076728,0.5654724159797083,0.1601141407736208,0.3202282815472416,0.5025364616360177,0.5009997011054012,0.6376237623762376,0.2326732673267326,0.0485148514851485,7.643679765000025,EGFR_VEGFR2
GraphPareto-NSGA-II,51,10240,10240,6346,2000,1.0,0.6197265625,0.982351087299086,0.8077745920848347,0.5116042182174885,0.0937556249536348,11,0.9037188780334068,0.7352663094862906,0.1478096438701544,0.2497636306334699,0.5616136148755121,0.4450721160720099,0.7590618336886994,0.3859275053304904,0.0373134328358208,7.37116393000004,EGFR_VEGFR2
CLOVER-Mol,42,10240,9209,9192,2000,0.89931640625,0.9981539798023672,0.9755221932114884,0.8628939576365634,0.4981595651591547,0.0575989292110276,10,0.4655134899912967,0.3362706701479547,0.761858137510879,0.875,0.901218450826806,0.4924236013788343,0.4440953876909895,0.312009138940454,0.0129944309581607,7.641960144042969,PARP1_BRD4
CLOVER-Mol,43,10240,9305,9276,2000,0.90869140625,0.9968833960236432,0.9733721431651574,0.8618812304357573,0.4995836146203639,0.0548947574121919,7,0.4651789564467443,0.336890901250539,0.7785683484260457,0.8828158689090125,0.8517680034497628,0.4963307995044813,0.4455829410135696,0.3204098587648851,0.0148158404873996,7.580540180206299,PARP1_BRD4
CLOVER-Mol,44,10240,9323,9294,2000,0.91044921875,0.9968894132789876,0.9713793845491716,0.8612009203121613,0.5081438288539778,0.0491663494749196,11,0.495696148052507,0.3687325156014633,0.7467183128900365,0.8754034861200775,0.8896061975468044,0.507487313550539,0.4703170028818443,0.3446685878962536,0.0243515850144092,7.6883864402771,PARP1_BRD4
CLOVER-Mol,45,10240,9207,9190,2000,0.89912109375,0.99815357879874,0.9760609357997824,0.8614544492186028,0.4960644851326664,0.0657560574729018,14,0.4792165397170838,0.3418933623503808,0.7688792165397171,0.8771490750816104,0.8951033732317737,0.4874839578863995,0.4547127087461081,0.3221058590433059,0.0137277101613359,7.686460018157959,PARP1_BRD4
CLOVER-Mol,46,10240,9307,9283,2000,0.90888671875,0.9974212957988612,0.9769471076160724,0.8659485351837685,0.5109751316528663,0.0508114034263266,8,0.5039319185608101,0.3701389636970806,0.7541742971022298,0.8628676074544867,0.9108046967575136,0.5034198978139092,0.4882159691472647,0.3560919868590201,0.0174260819882873,7.71028995513916,PARP1_BRD4
CLOVER-Mol,47,10240,9359,9327,2000,0.91396484375,0.9965808312853938,0.974697115900075,0.8611610833773883,0.5027741723938283,0.0590743355615287,10,0.4773238983596011,0.3493084593116757,0.7932883027768843,0.8778814195346842,0.8601908437868554,0.5011897144253249,0.4623597783484254,0.3328828220029733,0.0131098797134747,7.596014976501465,PARP1_BRD4
CLOVER-Mol,48,10240,9231,9215,2000,0.90146484375,0.9982667099989166,0.9740640260444928,0.8619357769424482,0.505317241422522,0.0531445598776083,7,0.470971242539338,0.339880629408573,0.7569180683667933,0.8733586543678784,0.8963646228974498,0.4982471105862836,0.4445878136200716,0.316989247311828,0.0113261648745519,7.669950008392334,PARP1_BRD4
CLOVER-Mol,49,10240,9174,9159,2000,0.8958984375,0.99836494440811,0.9793645594497216,0.8630940335071413,0.5121313143640506,0.0503765066639236,10,0.5152309204061579,0.3979692106125123,0.7000764275575936,0.8679986898132984,0.8921279615678568,0.5076644814187241,0.4705240174672489,0.3473175296319401,0.0254210854647535,7.651110172271728,PARP1_BRD4
CLOVER-Mol,50,10240,9296,9266,2000,0.9078125,0.9967728055077452,0.9716166630692856,0.8645612625666093,0.5021009692184041,0.0588308832390466,13,0.4923375782430391,0.3499892078566803,0.7722857759551047,0.852147636520613,0.8632635441398662,0.5018147332880939,0.4795975405254332,0.3412520961430967,0.0117384013415315,7.688594818115234,PARP1_BRD4
CLOVER-Mol,51,10240,9162,9152,2000,0.8947265625,0.9989085352543112,0.9677666083916084,0.8627524991897381,0.5069317950252084,0.0575606808892716,16,0.46875,0.3465909090909091,0.7728365384615384,0.8737980769230769,0.8858173076923077,0.5067563494601611,0.4480418492860172,0.3289975964937084,0.0319524954050615,7.647066116333008,PARP1_BRD4
POLYGON,42,10240,8962,8945,2000,0.8751953125,0.9981031019861638,0.972945779765232,0.8682189963454083,0.5019393411876758,0.0608652198541132,12,0.4812744550027948,0.3434320849636668,0.7782001117942985,0.8660704304080492,0.9219675796534376,0.4991404022633884,0.4703347220226979,0.3373078580663697,0.0100560264329837,7.65802000000004,PARP1_BRD4
POLYGON,43,10240,8895,8876,2000,0.86865234375,0.9978639685216414,0.969242902208202,0.8656828790203199,0.4786729858073564,0.0778501066413079,13,0.5227579990986931,0.3746056782334385,0.7957413249211357,0.8982649842271293,0.9203470031545742,0.4760070827371183,0.506158856010194,0.3621690499787626,0.0135919580914625,7.423840000000032,PARP1_BRD4
POLYGON,44,10240,8851,8815,2000,0.86435546875,0.995932662975935,0.966761202495746,0.8671815497845297,0.5260546107077798,0.0616348835390082,7,0.512989222915485,0.3587067498581963,0.7759500850822462,0.8920022688598979,0.907884288145207,0.5243453714319173,0.4906432748538011,0.3444444444444444,0.0076023391812865,7.620010000000018,PARP1_BRD4
POLYGON,45,10240,8847,8831,2000,0.86396484375,0.9981914773369504,0.971803872721096,0.8657549310851226,0.4789603619098169,0.0864861926826108,12,0.4936020835692447,0.3407315139848262,0.7915298380704336,0.8989921866153323,0.9285471634016532,0.477672495029545,0.4759656652360515,0.3273247496423462,0.0098712446351931,7.39529666666666,PARP1_BRD4
POLYGON,46,10240,9021,8950,2000,0.88095703125,0.992129475667886,0.9670391061452512,0.8635681693662325,0.4909070148281854,0.0678649340621525,9,0.5080446927374301,0.370949720670391,0.7713966480446928,0.9030167597765364,0.9283798882681564,0.4832632110404297,0.4755214368482039,0.3464658169177289,0.0085457705677867,7.547665000000034,PARP1_BRD4
POLYGON,47,10240,8813,8787,2000,0.86064453125,0.99704981277658,0.9715488790258336,0.8636725486988628,0.501037347251229,0.0646861690889677,11,0.5002845112097417,0.3438033458518265,0.7560031865255491,0.8902924775236144,0.9195402298850576,0.5009683611032698,0.4720758693361433,0.3241005569772693,0.0120427517687791,7.572160000000021,PARP1_BRD4
POLYGON,48,10240,8947,8931,2000,0.87373046875,0.9982116910696324,0.9666330758033814,0.8664796365601382,0.5014135109273972,0.065966653110031,10,0.4844922181166722,0.3231441048034934,0.7982308812003135,0.8777292576419214,0.91591087224275,0.4791157387109558,0.4818347594333006,0.3231869827465282,0.0088371440594753,7.5418550000000035,PARP1_BRD4
POLYGON,49,10240,9008,8989,2000,0.8796875,0.9978907637655418,0.9690733118255646,0.8642993596508554,0.5124720101672522,0.0696170748971662,12,0.5087328957614863,0.3706752697741684,0.768494827010791,0.8945377683835799,0.932361775503393,0.5123622808065379,0.4823393167342212,0.3497394325419803,0.013317892298784,7.595740000000041,PARP1_BRD4
